INFO backend.py:1050:  Mock Version: 1.1.38
DEBUG backend.py:342:  rootdir = /var/lib/mock/lwprepo-6-x86_64/root/
DEBUG backend.py:343:  resultdir = /home/nkadel/git/lwpbuilder/perl-HTML-Form-srpm/lwprepo-6-x86_64
INFO backend.py:346:  calling preinit hooks
DEBUG util.py:65:  ensuring that dir exists: /var/cache/mock/lwprepo-6-x86_64/root_cache/
DEBUG util.py:332:  Executing command: ['tar', '--use-compress-program', 'pigz', '-xf', '/var/cache/mock/lwprepo-6-x86_64/root_cache/cache.tar.gz', '-C', '/var/lib/mock/lwprepo-6-x86_64/root/'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:372:  Child return code was: 0
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/./proc
DEBUG util.py:68:  creating dir: /var/lib/mock/lwprepo-6-x86_64/root/./proc
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/./sys
DEBUG util.py:68:  creating dir: /var/lib/mock/lwprepo-6-x86_64/root/./sys
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/./dev
DEBUG util.py:68:  creating dir: /var/lib/mock/lwprepo-6-x86_64/root/./dev
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/./tmp/ccache
DEBUG util.py:68:  creating dir: /var/lib/mock/lwprepo-6-x86_64/root/./tmp/ccache
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/./var/cache/yum
DEBUG util.py:68:  creating dir: /var/lib/mock/lwprepo-6-x86_64/root/./var/cache/yum
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/var/cache/yum
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/tmp/ccache
DEBUG util.py:65:  ensuring that dir exists: /var/cache/mock/lwprepo-6-x86_64/ccache/
DEBUG backend.py:515:  create skeleton dirs
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/var/lib/rpm
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/var/lib/yum
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/var/lib/dbus
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/var/log
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/var/cache/yum
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/etc/rpm
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/tmp
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/tmp/ccache
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/var/tmp
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/etc/yum.repos.d
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/etc/yum
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/proc
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/sys
DEBUG backend.py:536:  touch required files
DEBUG util.py:77:  touching file: /var/lib/mock/lwprepo-6-x86_64/root/etc/mtab
DEBUG util.py:77:  touching file: /var/lib/mock/lwprepo-6-x86_64/root/etc/fstab
DEBUG util.py:77:  touching file: /var/lib/mock/lwprepo-6-x86_64/root/var/log/yum.log
DEBUG backend.py:361:  configure yum
DEBUG backend.py:376:  configure yum priorities
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/etc/yum/pluginconf.d
DEBUG backend.py:385:  configure yum rhnplugin
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/etc/yum/pluginconf.d
DEBUG util.py:92:  remove tree: /var/lib/mock/lwprepo-6-x86_64/root/dev
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/dev/pts
DEBUG util.py:68:  creating dir: /var/lib/mock/lwprepo-6-x86_64/root/dev/pts
DEBUG util.py:65:  ensuring that dir exists: /var/lib/mock/lwprepo-6-x86_64/root/dev/shm
DEBUG util.py:68:  creating dir: /var/lib/mock/lwprepo-6-x86_64/root/dev/shm
DEBUG backend.py:482:  kver == 2.6.32-431.17.1.el6.x86_64
DEBUG util.py:332:  Executing command: ['/bin/mount', '-n', '-t', 'proc', 'proc', '/var/lib/mock/lwprepo-6-x86_64/root/proc'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:372:  Child return code was: 0
DEBUG util.py:332:  Executing command: ['/bin/mount', '-n', '-t', 'sysfs', 'mock_chroot_sys', '/var/lib/mock/lwprepo-6-x86_64/root/sys'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:372:  Child return code was: 0
DEBUG util.py:332:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'mock_chroot_shmfs', '/var/lib/mock/lwprepo-6-x86_64/root/dev/shm'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:372:  Child return code was: 0
DEBUG util.py:332:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'mock_chroot_devpts', '/var/lib/mock/lwprepo-6-x86_64/root/dev/pts'] with env {'LANG': 'C', 'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOSTNAME': 'mock', 'HOME': '/builddir', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin'}
DEBUG util.py:372:  Child return code was: 0
